"feature"
"M30_OPEN_1_mad3_zscore"
"M30_OPEN_2_mad3_zscore"
"M30_OPEN_3_mad3_zscore"
"M30_OPEN_4_mad3_zscore"
"M30_OPEN_5_mad3_zscore"
"M30_OPEN_6_mad3_zscore"
"M30_OPEN_7_mad3_zscore"
"M30_OPEN_8_mad3_zscore"
"M30_CLOSE_1_mad3_zscore"
"M30_CLOSE_2_mad3_zscore"
"M30_CLOSE_3_mad3_zscore"
"M30_CLOSE_4_mad3_zscore"
"M30_CLOSE_5_mad3_zscore"
"M30_CLOSE_6_mad3_zscore"
"M30_CLOSE_7_mad3_zscore"
"M30_CLOSE_8_mad3_zscore"
"M30_HIGH_1_mad3_zscore"
"M30_HIGH_2_mad3_zscore"
"M30_HIGH_3_mad3_zscore"
"M30_HIGH_4_mad3_zscore"
"M30_HIGH_5_mad3_zscore"
"M30_HIGH_6_mad3_zscore"
"M30_HIGH_7_mad3_zscore"
"M30_HIGH_8_mad3_zscore"
"M30_LOW_1_mad3_zscore"
"M30_LOW_2_mad3_zscore"
"M30_LOW_3_mad3_zscore"
"M30_LOW_4_mad3_zscore"
"M30_LOW_5_mad3_zscore"
"M30_LOW_6_mad3_zscore"
"M30_LOW_7_mad3_zscore"
"M30_LOW_8_mad3_zscore"
"M30_VWAP_1_mad3_zscore"
"M30_VWAP_2_mad3_zscore"
"M30_VWAP_3_mad3_zscore"
"M30_VWAP_4_mad3_zscore"
"M30_VWAP_5_mad3_zscore"
"M30_VWAP_6_mad3_zscore"
"M30_VWAP_7_mad3_zscore"
"M30_VWAP_8_mad3_zscore"
"M30_VOLUME_FIRST_1_mad3_zscore"
"M30_VOLUME_FIRST_2_mad3_zscore"
"M30_VOLUME_FIRST_3_mad3_zscore"
"M30_VOLUME_FIRST_4_mad3_zscore"
"M30_VOLUME_FIRST_5_mad3_zscore"
"M30_VOLUME_FIRST_6_mad3_zscore"
"M30_VOLUME_FIRST_7_mad3_zscore"
"M30_VOLUME_FIRST_8_mad3_zscore"
"M30_VOLUME_LAST_1_mad3_zscore"
"M30_VOLUME_LAST_2_mad3_zscore"
"M30_VOLUME_LAST_3_mad3_zscore"
"M30_VOLUME_LAST_4_mad3_zscore"
"M30_VOLUME_LAST_5_mad3_zscore"
"M30_VOLUME_LAST_6_mad3_zscore"
"M30_VOLUME_LAST_7_mad3_zscore"
"M30_VOLUME_LAST_8_mad3_zscore"
"M30_AMOUNT_FIRST_1_mad3_zscore"
"M30_AMOUNT_FIRST_2_mad3_zscore"
"M30_AMOUNT_FIRST_3_mad3_zscore"
"M30_AMOUNT_FIRST_4_mad3_zscore"
"M30_AMOUNT_FIRST_5_mad3_zscore"
"M30_AMOUNT_FIRST_6_mad3_zscore"
"M30_AMOUNT_FIRST_7_mad3_zscore"
"M30_AMOUNT_FIRST_8_mad3_zscore"
"M30_AMOUNT_LAST_1_mad3_zscore"
"M30_AMOUNT_LAST_2_mad3_zscore"
"M30_AMOUNT_LAST_3_mad3_zscore"
"M30_AMOUNT_LAST_4_mad3_zscore"
"M30_AMOUNT_LAST_5_mad3_zscore"
"M30_AMOUNT_LAST_6_mad3_zscore"
"M30_AMOUNT_LAST_7_mad3_zscore"
"M30_AMOUNT_LAST_8_mad3_zscore"
"M30_VOL_SHARE_1_mad3_zscore"
"M30_VOL_SHARE_2_mad3_zscore"
"M30_VOL_SHARE_3_mad3_zscore"
"M30_VOL_SHARE_4_mad3_zscore"
"M30_VOL_SHARE_5_mad3_zscore"
"M30_VOL_SHARE_6_mad3_zscore"
"M30_VOL_SHARE_7_mad3_zscore"
"M30_VOL_SHARE_8_mad3_zscore"
"M30_AMT_SHARE_1_mad3_zscore"
"M30_AMT_SHARE_2_mad3_zscore"
"M30_AMT_SHARE_3_mad3_zscore"
"M30_AMT_SHARE_4_mad3_zscore"
"M30_AMT_SHARE_5_mad3_zscore"
"M30_AMT_SHARE_6_mad3_zscore"
"M30_AMT_SHARE_7_mad3_zscore"
"M30_AMT_SHARE_8_mad3_zscore"
"M30_RET_OC_1_mad3_zscore"
"M30_RET_OC_2_mad3_zscore"
"M30_RET_OC_3_mad3_zscore"
"M30_RET_OC_4_mad3_zscore"
"M30_RET_OC_5_mad3_zscore"
"M30_RET_OC_6_mad3_zscore"
"M30_RET_OC_7_mad3_zscore"
"M30_RET_OC_8_mad3_zscore"
"M30_RET_CC_1_mad3_zscore"
"M30_RET_CC_2_mad3_zscore"
"M30_RET_CC_3_mad3_zscore"
"M30_RET_CC_4_mad3_zscore"
"M30_RET_CC_5_mad3_zscore"
"M30_RET_CC_6_mad3_zscore"
"M30_RET_CC_7_mad3_zscore"
"M30_RET_CC_8_mad3_zscore"
"M30_GAP_1_mad3_zscore"
"M30_GAP_5_mad3_zscore"
"M30_RET_VWAP_2_mad3_zscore"
"M30_RET_VWAP_3_mad3_zscore"
"M30_RET_VWAP_4_mad3_zscore"
"M30_RET_VWAP_5_mad3_zscore"
"M30_RET_VWAP_6_mad3_zscore"
"M30_RET_VWAP_7_mad3_zscore"
"M30_RET_VWAP_8_mad3_zscore"
"M30_RANGE_OPEN_1_mad3_zscore"
"M30_RANGE_OPEN_2_mad3_zscore"
"M30_RANGE_OPEN_3_mad3_zscore"
"M30_RANGE_OPEN_4_mad3_zscore"
"M30_RANGE_OPEN_5_mad3_zscore"
"M30_RANGE_OPEN_6_mad3_zscore"
"M30_RANGE_OPEN_7_mad3_zscore"
"M30_RANGE_OPEN_8_mad3_zscore"
"M30_ABS_BODY_1_mad3_zscore"
"M30_ABS_BODY_2_mad3_zscore"
"M30_ABS_BODY_3_mad3_zscore"
"M30_ABS_BODY_4_mad3_zscore"
"M30_ABS_BODY_5_mad3_zscore"
"M30_ABS_BODY_6_mad3_zscore"
"M30_ABS_BODY_7_mad3_zscore"
"M30_ABS_BODY_8_mad3_zscore"
"M30_UPPER_SHADOW_1_mad3_zscore"
"M30_UPPER_SHADOW_2_mad3_zscore"
"M30_UPPER_SHADOW_3_mad3_zscore"
"M30_UPPER_SHADOW_4_mad3_zscore"
"M30_UPPER_SHADOW_5_mad3_zscore"
"M30_UPPER_SHADOW_6_mad3_zscore"
